순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
645,화장,임권택,(주)명필름,,(주)리틀빅픽쳐스,2015/04/09,개봉영화,장편,한국,327,"1,059,405,100","140,616","338,077,900","43,757",드라마,청소년관람불가,독립/예술영화
646,독전: 익스텐디드 컷,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018/07/18,개봉영화,장편,한국,398,"844,714,600","137,775","236,870,200","37,991",범죄,15세이상관람가,일반영화
647,0.0MHz,유선동,(주)제이엠컬쳐스,,(주)스마일이엔티,2019/05/29,개봉영화,장편,한국,446,"1,088,258,860","137,294","213,889,040","25,604",공포(호러),15세이상관람가,일반영화
648,극장판 꼬마버스 타요의 에이스 구출작전,류정우,"(주)아이코닉스,(주)스튜디오게일",,(주)아이코닉스,2016/01/21,개봉영화,장편,한국,200,"906,299,900","135,478","190,910,800","27,929",애니메이션,전체관람가,일반영화
649,빼꼼의 머그잔 여행,임아론,(합)알지애니메이션스튜디오,,"(합)알지애니메이션스튜디오,씨제이 씨지브이(CJ CGV)(주)",2007/03/22,개봉영화,장편,한국,0,0,"135,261",0,"37,899",드라마,전체관람가,일반영화
650,로마의 휴일,이덕희,(주)전망좋은 영화사,,메가박스중앙(주)플러스엠,2017/08/30,개봉영화,장편,한국,436,"993,321,176","134,827","217,460,976","28,160",코미디,15세이상관람가,일반영화
651,나의 절친 악당들,임상수,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2015/06/25,개봉영화,장편,한국,384,"1,054,470,664","133,553","344,258,564","41,604",범죄,청소년관람불가,일반영화
652,죽이고 싶은,"김상화,조원희",(주)펀치볼,,롯데쇼핑㈜롯데엔터테인먼트,2010/08/26,개봉영화,장편,한국,145,"990,122,522","133,079","275,976,500","35,187",스릴러,청소년관람불가,독립/예술영화
653,파주,박찬옥,"(주)티피에스컴퍼니,(주)명필름",,(주)엠케이픽처스,2009/10/28,개봉영화,장편,한국,131,"978,601,985","132,657","392,029,100","50,823",드라마,청소년관람불가,독립/예술영화
654,오늘,이정향,(주)포시즌스카이컴퍼니,,롯데쇼핑㈜롯데엔터테인먼트,2011/10/27,개봉영화,장편,한국,207,"712,814,000","131,896","256,541,500","44,913",드라마,15세이상관람가,일반영화
655,두 여자,정윤수,(주)케이앤엔터테인먼트,,씨제이엔터테인먼트,2010/11/18,개봉영화,장편,한국,211,"981,545,863","131,415","268,371,500","34,133",멜로/로맨스,청소년관람불가,일반영화
656,자백,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2016/10/13,개봉영화,장편,한국,152,"1,034,815,200","129,950","459,270,300","55,388",다큐멘터리,15세이상관람가,독립/예술영화
657,맨홀,신재영,(주)화인웍스,,롯데쇼핑㈜롯데엔터테인먼트,2014/10/08,개봉영화,장편,한국,286,"1,053,876,130","129,732","234,298,830","27,598",공포(호러),청소년관람불가,일반영화
658,구세주 2,황승재,(주)씨와이필름,,씨제이엔터테인먼트,2009/02/26,개봉영화,장편,한국,228,"838,666,517","127,226","181,258,500","26,726",코미디,15세이상관람가,일반영화
659,눈길,이나정,KBS,,"(주)엣나인필름,CGV아트하우스",2017/03/01,개봉영화,장편,한국,495,"947,059,100","126,443","227,150,700","29,161",드라마,15세이상관람가,독립/예술영화
660,저수지 게임,최진성,프로젝트 부,,(주)스마일이엔티,2017/09/07,개봉영화,장편,한국,289,"984,605,100","125,402","390,376,200","47,721",다큐멘터리,15세이상관람가,독립/예술영화
661,시간위의 집,임대웅,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)",,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",2017/04/05,개봉영화,장편,한국,454,"987,958,600","124,601","247,386,600","29,576",미스터리,15세이상관람가,일반영화
