영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
내 사랑 내 곁에,박진표,씨제이엔터테인먼트,2009/09/24,한국,"15,764,312,409",드라마,12세이상관람가,하지원
마이 웨이,강제규,"에스케이플래닛(주),씨제이이앤엠(주)",2011/12/21,한국,"15,994,803,000",전쟁,15세이상관람가,장동건
나의 사랑 나의 신부,임찬상,씨네그루(주)다우기술,2014/10/08,한국,"16,592,056,305",멜로/로맨스,15세이상관람가,조정석
사랑,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2007/09/19,한국,0,멜로/로맨스,15세이상관람가,주진모
세븐 데이즈,원신연,(주)프라임엔터테인먼트,2007/11/14,한국,0,스릴러,청소년관람불가,김윤진
굿바이 싱글,김태곤,(주)쇼박스,2016/06/29,한국,"16,912,706,195",코미디,15세이상관람가,김혜수
몽타주,정근섭,(주)넥스트엔터테인먼트월드(NEW),2013/05/16,한국,"15,000,722,500",스릴러,15세이상관람가,엄정화
색즉시공 시즌2,윤태윤,씨제이엔터테인먼트,2007/12/12,한국,0,코미디,청소년관람불가,임창정
명당,박희곤,메가박스중앙(주)플러스엠,2018/09/19,한국,"17,900,775,524",사극,12세이상관람가,조승우
내부자들: 디 오리지널,우민호,(주)쇼박스,2015/12/31,한국,"16,973,885,275",범죄,청소년관람불가,이병헌
쩨쩨한 로맨스,김정훈,롯데쇼핑㈜롯데엔터테인먼트,2010/12/01,한국,"15,901,620,661",코미디,청소년관람불가,이선균
눈에는 눈 이에는 이,"곽경택,안권태",롯데쇼핑㈜롯데엔터테인먼트,2008/07/31,한국,"13,414,023,500",범죄,15세이상관람가,0
뷰티 인사이드,백,(주)넥스트엔터테인먼트월드(NEW),2015/08/20,한국,"16,152,717,131",판타지,12세이상관람가,0
봉이 김선달,박대민,씨제이이앤엠(주),2016/07/06,한국,"16,172,133,642",사극,12세이상관람가,유승호
남자가 사랑할 때,한동욱,(주)넥스트엔터테인먼트월드(NEW),2014/01/22,한국,"14,510,222,300",멜로/로맨스,15세이상관람가,황정민
협상,이종석,씨제이이앤엠(주),2018/09/19,한국,"17,032,133,166",범죄,15세이상관람가,손예진
애자,정기훈,(주)시너지하우스 (시너지),2009/09/09,한국,"13,785,879,439",드라마,15세이상관람가,최강희
그림자 살인,박대민,씨제이엔터테인먼트,2009/04/02,한국,"12,805,808,556",미스터리,15세이상관람가,황정민
내안의 그놈,강효진,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019/01/09,한국,"16,293,580,567",판타지,15세이상관람가,진영
오늘의 연애,박진표,씨제이이앤엠(주),2015/01/14,한국,"14,924,654,487",멜로/로맨스,15세이상관람가,이승기
글러브,강우석,씨제이엔터테인먼트,2011/01/20,한국,"13,757,574,500",드라마,전체관람가,정재영
해결사,권혁재,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",2010/09/09,한국,"14,063,913,437",액션,15세이상관람가,설경구
연애의 온도,노덕,롯데쇼핑㈜롯데엔터테인먼트,2013/03/21,한국,"13,798,864,446",멜로/로맨스,청소년관람불가,이민기
아이들...,이규만,롯데쇼핑㈜롯데엔터테인먼트,2011/02/17,한국,"13,562,608,500",범죄,15세이상관람가,박용우
마약왕,우민호,(주)쇼박스,2018/12/19,한국,"16,222,446,942",범죄,청소년관람불가,송강호
코리아,문현성,씨제이이앤엠(주),2012/05/03,한국,"13,334,762,500",드라마,12세이상관람가,하지원
노무현입니다,이창재,"CGV아트하우스,영화사 풀",2017/05/25,한국,"14,554,935,612",다큐멘터리,12세이상관람가,<b>노무현</b>
집으로 가는 길,방은진,씨제이이앤엠(주),2013/12/11,한국,"13,048,519,745",드라마,15세이상관람가,전도연
악마를 보았다,김지운,(주)쇼박스,2010/08/12,한국,"14,148,937,025",스릴러,청소년관람불가,이병헌
바람피기 좋은 날,장문일,(주)시네마서비스,2007/02/08,한국,0,드라마,청소년관람불가,김혜수
뺑반,한준희,(주)쇼박스,2019/01/30,한국,"15,222,811,848",범죄,15세이상관람가,공효진
나의 PS 파트너,변성현,씨제이이앤엠(주),2012/12/06,한국,"13,845,218,616",멜로/로맨스,청소년관람불가,지성
차우,신정원,롯데쇼핑㈜롯데엔터테인먼트,2009/07/15,한국,"12,676,951,144",액션,12세이상관람가,엄태웅
아내가 결혼했다,정윤수,씨제이엔터테인먼트,2008/10/23,한국,"11,995,855,000",멜로/로맨스,청소년관람불가,손예진
공범,국동석,씨제이이앤엠(주),2013/10/24,한국,"12,333,110,882",스릴러,15세이상관람가,손예진
대호,박훈정,(주)넥스트엔터테인먼트월드(NEW),2015/12/16,한국,"13,489,904,632",사극,12세이상관람가,최민식
전설의 주먹,강우석,씨제이이앤엠(주),2013/04/10,한국,"12,732,236,500",드라마,청소년관람불가,황정민
제보자,임순례,메가박스중앙(주)플러스엠,2014/10/02,한국,"13,371,522,302",드라마,12세이상관람가,박해일
러브픽션,전계수,(주)넥스트엔터테인먼트월드(NEW),2012/02/29,한국,"13,200,412,500",멜로/로맨스,15세이상관람가,하정우
평양성,이준익,롯데쇼핑㈜롯데엔터테인먼트,2011/01/27,한국,"12,684,530,500",전쟁,12세이상관람가,정진영
파파로티,윤종찬,(주)쇼박스,2013/03/14,한국,"11,808,286,000",드라마,15세이상관람가,한석규
밀양,이창동,(주)시네마서비스,2007/05/23,한국,0,드라마,15세이상관람가,전도연
쎄시봉,김현석,씨제이이앤엠(주),2015/02/05,한국,"13,509,581,911",멜로/로맨스,15세이상관람가,정우
님은 먼 곳에,이준익,(주)쇼박스,2008/07/24,한국,"11,211,235,000",드라마,15세이상관람가,수애
불꽃처럼 나비처럼,김용균,(주)쇼박스,2009/09/24,한국,"12,447,633,504",멜로/로맨스,15세이상관람가,조승우
피끓는 청춘,이연우,롯데쇼핑㈜롯데엔터테인먼트,2014/01/22,한국,"11,688,382,888",코미디,15세이상관람가,박보영
PMC: 더 벙커,김병우,씨제이이앤엠(주),2018/12/26,한국,"14,024,838,424",액션,15세이상관람가,하정우
공모자들,김홍선,"씨너스엔터테인먼트(주),타임스토리그룹(주)",2012/08/29,한국,"12,240,964,500",범죄,청소년관람불가,임창정
그대를 사랑합니다,추창민,(주)넥스트엔터테인먼트월드(NEW),2011/02/17,한국,"12,005,917,000",드라마,15세이상관람가,이순재
임금님의 사건수첩,문현성,씨제이이앤엠(주),2017/04/26,한국,"12,648,793,723",코미디,12세이상관람가,이선균
고死 : 피의 중간고사,창,에스케이텔레콤(주),2008/08/07,한국,"10,299,976,000",공포(호러),15세이상관람가,0
걸캅스,정다원,씨제이이앤엠(주),2019/05/09,한국,"13,772,604,134",코미디,15세이상관람가,라미란
권순분여사 납치사건,김상진,(주)시네마서비스,2007/09/12,한국,0,코미디,15세이상관람가,나문희
무방비도시,이상기,씨제이엔터테인먼트,2008/01/10,한국,"10,591,349,944",범죄,15세이상관람가,김명민
우아한 거짓말,이한,CGV아트하우스,2014/03/13,한국,"11,694,011,300",드라마,12세이상관람가,김희애
하울링,유하,씨제이이앤엠(주),2012/02/16,한국,"11,765,293,500",범죄,15세이상관람가,송강호
